City,Hotel Name,Review_link
San Antonio,Hotel Contessa,https://www.tripadvisor.in/Hotel_Review-g60956-d570285-Reviews-or350-Hotel_Contessa-San_Antonio_Texas.html
San Antonio,Hotel Contessa,https://www.tripadvisor.in/Hotel_Review-g60956-d570285-Reviews-or355-Hotel_Contessa-San_Antonio_Texas.html
San Antonio,Hotel Contessa,https://www.tripadvisor.in/Hotel_Review-g60956-d570285-Reviews-or360-Hotel_Contessa-San_Antonio_Texas.html
San Antonio,Hotel Contessa,https://www.tripadvisor.in/Hotel_Review-g60956-d570285-Reviews-or365-Hotel_Contessa-San_Antonio_Texas.html
San Antonio,Hotel Contessa,https://www.tripadvisor.in/Hotel_Review-g60956-d570285-Reviews-or370-Hotel_Contessa-San_Antonio_Texas.html
San Antonio,Hotel Contessa,https://www.tripadvisor.in/Hotel_Review-g60956-d570285-Reviews-or375-Hotel_Contessa-San_Antonio_Texas.html
San Antonio,Hotel Contessa,https://www.tripadvisor.in/Hotel_Review-g60956-d570285-Reviews-or380-Hotel_Contessa-San_Antonio_Texas.html
San Antonio,Hotel Contessa,https://www.tripadvisor.in/Hotel_Review-g60956-d570285-Reviews-or385-Hotel_Contessa-San_Antonio_Texas.html
San Antonio,Hotel Contessa,https://www.tripadvisor.in/Hotel_Review-g60956-d570285-Reviews-or390-Hotel_Contessa-San_Antonio_Texas.html
San Antonio,Hotel Contessa,https://www.tripadvisor.in/Hotel_Review-g60956-d570285-Reviews-or395-Hotel_Contessa-San_Antonio_Texas.html
San Antonio,Hotel Contessa,https://www.tripadvisor.in/Hotel_Review-g60956-d570285-Reviews-or400-Hotel_Contessa-San_Antonio_Texas.html
San Antonio,Hotel Contessa,https://www.tripadvisor.in/Hotel_Review-g60956-d570285-Reviews-or405-Hotel_Contessa-San_Antonio_Texas.html
San Antonio,Hotel Contessa,https://www.tripadvisor.in/Hotel_Review-g60956-d570285-Reviews-or410-Hotel_Contessa-San_Antonio_Texas.html
